Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;kinder sorpresa x 2  varon;;;4,00 ;1.360,00 ;704,00 ;1.123,97 ;59,65 
;kit kat 41.5 grs;;;135,00 ;17.690,00 ;8.108,10 ;14.619,83 ;80,31 
;kit kat mini 16.7 grs;;;24,00 ;1.200,00 ;480,00 ;991,74 ;106,61 
;Mani con chocolate block;;;30,00 ;4.220,00 ;1.517,80 ;3.487,60 ;129,78 
;MANITOON QUESO CHICO;;;15,00 ;1.290,00 ;630,00 ;1.066,12 ;69,22 
;Mantecol 110g;;;1,00 ;170,00 ;80,00 ;140,50 ;75,62 
;Mantecol x26g;;;30,00 ;2.290,00 ;1.131,30 ;1.892,56 ;67,29 
;Marroc bocadito;;;122,00 ;6.250,00 ;2.145,92 ;5.165,29 ;140,70 
;Medallon menta felfort;;;13,00 ;650,00 ;301,47 ;537,19 ;78,19 
;menthoplus cafe late;;;27,00 ;1.960,00 ;1.013,00 ;1.619,83 ;59,90 
;menthoplus mentol+pectina;;;47,00 ;3.060,00 ;1.043,00 ;2.535,87 ;143,13 
;mentoplus menta;;;45,00 ;3.090,00 ;1.534,80 ;2.553,72 ;66,39 
;Mentos fruta;;;10,00 ;650,00 ;334,30 ;537,19 ;60,69 
;Mentos Menta;;;8,00 ;240,00 ;80,00 ;198,35 ;147,93 
;Merenkoa;;;54,00 ;4.950,00 ;2.516,40 ;4.090,91 ;62,57 
;mogul extreme acido dulce tubitos 15g;;;95,00 ;4.210,00 ;2.200,00 ;3.479,34 ;58,15 
;mogul frutales bolsita 50g;;;56,00 ;3.830,00 ;1.326,64 ;3.165,29 ;138,59 
;Mogul Ositos;;;97,00 ;5.645,00 ;1.648,86 ;4.665,29 ;182,94 
;Mogul Oso Extreme Acido Dulce;;;81,00 ;5.650,00 ;2.106,00 ;4.669,42 ;121,72 
;Mogul Piecitos;;;8,00 ;480,00 ;250,24 ;396,69 ;58,53 
;Mogul Rollo;;;234,00 ;12.870,00 ;5.339,88 ;10.636,36 ;99,19 
;Mogul Tiburoncitos;;;126,00 ;6.940,00 ;2.642,22 ;5.735,54 ;117,07 
;mogul tutti frutti 50g;;;19,00 ;1.520,00 ;817,00 ;1.256,20 ;53,76 
;Monedas de chocolate Piratas Felfort;;;46,00 ;1.180,00 ;460,00 ;975,21 ;112,00 
;Monster ultra paradise;;;30,00 ;7.410,00 ;2.880,00 ;6.123,97 ;112,64 
;Nesquik 180g;;;1,00 ;135,00 ;65,00 ;111,57 ;71,65 
;Nugaton clásico;;;19,00 ;1.580,00 ;741,95 ;1.305,79 ;75,99 
;Oblea Bon o Bon;;;37,00 ;3.585,00 ;1.066,86 ;2.962,81 ;177,71 
;Pico Dulce;;;139,00 ;3.070,00 ;162,63 ;3.070,00 ;1.787,72 
;Piecitos Acido;;;15,00 ;600,00 ;213,75 ;495,87 ;131,99 
;Pipas;;;13,00 ;390,00 ;208,00 ;322,31 ;54,96 
;Pipas Gigantes;;;247,00 ;18.360,00 ;7.008,51 ;15.173,55 ;116,50 
;PIZZA RUCULA/3QUESOS/ANANA/POLLO;;;336,00 ;94.690,00 ;33.936,00 ;78.256,20 ;130,60 
;PROMO TURRON ARCOR X 3;;;7,00 ;700,00 ;98,00 ;578,51 ;490,32 
;PROMO TURRON ARCOR X 4;;;16,00 ;1.600,00 ;224,00 ;1.322,31 ;490,32 
;rollitos mogul acidos;;;130,00 ;6.990,00 ;2.933,69 ;5.776,86 ;96,91 
;surtidas turimar dulces 350g  (via dulce);;;4,00 ;380,00 ;148,00 ;314,05 ;112,20 
;Tic tac mix de frutas;;;28,00 ;1.900,00 ;616,00 ;1.570,25 ;154,91 
;Tita;;;40,00 ;2.110,00 ;918,40 ;1.743,80 ;89,87 
;TURRON ARCOR;;;518,00 ;16.780,00 ;1.776,74 ;13.867,78 ;680,52 
;Turron Nevares;;;347,00 ;8.875,00 ;2.530,60 ;7.334,71 ;189,84 
;Yummy animalitos;;;32,00 ;1.275,00 ;416,00 ;1.053,72 ;153,30 
;Yummy moritas;;;30,00 ;1.200,00 ;630,00 ;991,74 ;57,42 
;Yummy ositos;;;32,00 ;1.290,00 ;179,04 ;1.258,76 ;603,06 
;yummy ositos acidos;;;6,00 ;360,00 ;186,00 ;297,52 ;59,96 
;Yummy pececitos;;;6,00 ;360,00 ;186,00 ;297,52 ;59,96 
Total Rubro Golosinas;340.894,00 ;690.174,00 ;314.411,59 ;573.100,97 ;82,28 ;;;
infuciones (14);;;;;;;;
;Cafe Dolca  Suave50g;;;1,00 ;190,00 ;104,68 ;157,02 ;50,00 
;cafe instantaneo en sobres la virginia;;;101,00 ;2.090,00 ;1.062,10 ;1.727,28 ;62,63 
;cafe instantaneo la virginia;;;2,00 ;30,00 ;16,00 ;24,79 ;54,96 
;Cafe Instantaneo La Virginia 50 g;;;21,00 ;6.030,00 ;2.890,88 ;4.983,47 ;72,39 
;Cafe La virginia 250 g;;;3,00 ;1.260,00 ;521,52 ;1.041,32 ;99,67 
;Cafe La virginia molido 250 g;;;16,00 ;8.520,00 ;3.408,00 ;7.041,32 ;106,61 
;Capuccino Light Sobre la virginia;;;15,00 ;810,00 ;388,95 ;669,42 ;72,11 
;equal sweet stevia;;;2,00 ;260,00 ;142,00 ;214,88 ;51,32 
;La Virginia instantáneo 100 g;;;4,00 ;1.920,00 ;694,20 ;1.586,78 ;128,58 
;La virginia Té manzanilla;;;6,00 ;1.020,00 ;484,59 ;842,98 ;73,96 
;Mate cocido litoral;;;11,00 ;1.770,00 ;725,00 ;1.462,81 ;101,77 
;Mate Cocido Litoral 25 saquitos;;;1,00 ;63,00 ;34,38 ;52,07 ;51,44 
;Mate Cocido nobleza gaucha 50g;;;9,00 ;990,00 ;487,17 ;818,18 ;67,95 
;Matecocido taragui;;;3,00 ;360,00 ;168,18 ;297,52 ;76,91 
;TE La Virginia x 25 Saquitos;;;15,00 ;1.560,00 ;760,00 ;1.289,26 ;69,64 
7790150320266;Té Tilo;;;1,00 ;360,00 ;186,28 ;297,52 ;59,72 
Total Rubro infuciones;211,00 ;27.233,00 ;12.073,93 ;22.506,61 ;86,41 ;;;
jugos (1.502);;;;;;;;
;.;;;1,00 ;170,00 ;83,30 ;140,50 ;68,66 
;Ades durazno 1 lt;;;6,00 ;1.080,00 ;553,92 ;892,56 ;61,14 
;Ades Frutas Tropicales 1L;;;25,00 ;5.440,00 ;2.701,00 ;4.495,87 ;66,45 
;Ades frutas tropicales 200;;;23,00 ;1.740,00 ;736,96 ;1.438,02 ;95,13 
;Ades frutilla 200 ml;;;6,00 ;480,00 ;227,52 ;396,69 ;74,36 
;Ades Manzana 1L;;;30,00 ;5.800,00 ;3.102,00 ;4.793,39 ;54,53 
;Ades Manzana 200 ml;;;32,00 ;2.475,00 ;1.138,28 ;2.045,45 ;79,70 
;baggio durazno 1 L;;;12,00 ;2.360,00 ;1.140,00 ;1.950,41 ;71,09 
;Baggio Durazno 200cc;;;80,00 ;4.905,00 ;2.139,94 ;4.053,72 ;89,43 
;baggio fresh manzana 600c;;;18,00 ;1.440,00 ;778,00 ;1.190,08 ;52,97 
;Baggio fresh naranja dulce 200ml;;;8,00 ;320,00 ;145,44 ;264,46 ;81,84 
;baggio fresh pera 600ml;;;25,00 ;2.050,00 ;900,00 ;1.694,22 ;88,25 
;baggio fresh pomelo 600cc;;;36,00 ;3.075,00 ;1.576,00 ;2.541,32 ;61,25 
;Baggio Manzana 1L;;;34,00 ;6.920,00 ;3.172,60 ;5.719,01 ;80,26 
;Baggio Manzana 200cc;;;58,00 ;3.340,00 ;1.452,78 ;2.760,33 ;90,00 
;Baggio Multifruta 1L;;;19,00 ;3.610,00 ;1.841,90 ;2.983,47 ;61,98 
;Baggio Multifrutal 200cc;;;99,00 ;6.040,00 ;2.648,00 ;4.991,74 ;88,51 
;Baggio Naranja 1L;;;21,00 ;4.500,00 ;2.175,00 ;3.719,01 ;70,99 
;Baggio Naranja 200cc;;;80,00 ;4.825,00 ;2.059,36 ;3.987,60 ;93,63 
;Baggio pronto mix frutal  1L;;;12,00 ;2.240,00 ;528,84 ;1.851,24 ;250,06 
;cepita 1000cc durazno botella;;;29,00 ;4.940,00 ;1.106,06 ;4.082,65 ;269,12 
;Cepita Durazno Mix x 200 ml;;;19,00 ;1.590,00 ;302,10 ;1.314,05 ;334,97 
;cepita fresh naranja 1,5L;;;8,00 ;1.420,00 ;704,00 ;1.173,55 ;66,70 
;Cepita Fresh Pomelo 1,5L;;;9,00 ;1.860,00 ;522,00 ;1.537,19 ;194,48 
;Cepita Manzana 200cc;;;7,00 ;510,00 ;243,00 ;421,49 ;73,45 
;Cepita Multifruta 1000 cc;;;16,00 ;3.260,00 ;1.120,00 ;2.694,21 ;140,55 
;Cepita multifrutal 200cc;;;17,00 ;1.270,00 ;442,00 ;1.049,59 ;137,46 
;Cepita Naranja  200 cc;;;22,00 ;1.950,00 ;878,00 ;1.611,57 ;83,55 
;Cepita Naranja 1l;;;18,00 ;3.630,00 ;1.296,00 ;3.000,00 ;131,48 
;cepita naranja x 1000cc botella;;;23,00 ;4.770,00 ;877,22 ;3.942,15 ;349,39 
;Citric 1000cc;;;97,00 ;27.670,00 ;13.105,55 ;22.867,77 ;74,49 
;Citric 250 cc manzana;;;26,00 ;2.900,00 ;1.391,78 ;2.396,69 ;72,20 
;Citric 250ml;;;65,00 ;6.450,00 ;2.990,00 ;5.330,58 ;78,28 
;Citric 500cc;;;112,00 ;18.240,00 ;9.284,40 ;15.074,38 ;62,36 
;citric durazno naranja  1.000cc;;;3,00 ;810,00 ;429,75 ;669,42 ;55,77 
;citric naranja + mango 1 litro;;;6,00 ;1.710,00 ;852,00 ;1.413,22 ;65,87 
;citric naranja durazno 500cc;;;1,00 ;160,00 ;51,61 ;132,23 ;156,21 
;Citric naranja mango 500cc;;;7,00 ;1.120,00 ;581,00 ;925,62 ;59,31 
;gatorade cool blue 300ml;;;10,00 ;800,00 ;321,20 ;661,16 ;105,84 
;Jugo de Naranja Orgánico 250cc;;;1,00 ;100,00 ;55,00 ;82,64 ;50,26 
;Ser jugo sobre limon dulce;;;18,00 ;360,00 ;0,00 ;360,00 ;0,00 
Total Rubro jugos;1.139,00 ;148.330,00 ;65.653,51 ;122.649,25 ;86,81 ;;;
jugos en sobres (18);;;;;;;;
;Billiken Gomitas frutilla a la crema;;;12,00 ;480,00 ;50,28 ;480,00 ;854,65 
;cafe en saquito la virginia x 5grs;;;241,00 ;6.460,00 ;3.133,00 ;5.338,85 ;70,41 
;Clight en polvo Naranja -Mango;;;14,00 ;560,00 ;49,00 ;462,81 ;844,51 
;Clight manzana;;;21,00 ;840,00 ;117,60 ;694,22 ;490,32 
;Clight naranja;;;7,00 ;280,00 ;23,80 ;231,41 ;872,29 
;Jugo en polvo Ser 1lt Pomelo Rosado;;;35,00 ;700,00 ;361,55 ;578,51 ;60,01 
;Jugos Tang cualquier sabor;;;1,00 ;30,00 ;11,00 ;24,79 ;125,39 
;Tang multifruta;;;32,00 ;1.280,00 ;828,80 ;1.057,85 ;27,64 
;Tang naranja;;;23,00 ;915,00 ;533,27 ;756,20 ;41,80 
;Tang naranja dulce;;;1,00 ;25,00 ;3,50 ;20,66 ;490,32 
;Tang naranja mango;;;4,00 ;180,00 ;103,60 ;148,76 ;43,59 
Total Rubro jugos en sobres;391,00 ;11.750,00 ;5.215,40 ;9.794,06 ;87,79 ;;;
lacteos (28);;;;;;;;
;Baggio chocolatada 1l shake;;;5,00 ;1.300,00 ;702,50 ;1.074,38 ;52,94 
;CasanCrem entero 290g;;;1,00 ;450,00 ;215,00 ;371,90 ;72,98 
;CasanCrem Light por 290g;;;2,00 ;945,00 ;430,00 ;780,99 ;81,63 
;Choclatada Baggio Latte 200cc;;;15,00 ;1.190,00 ;285,00 ;983,47 ;245,08 
;Chocolatada Baggio Latte 200cc;;;5,00 ;350,00 ;78,50 ;289,26 ;268,48 
;Chocolatada Tregar 1L;;;9,00 ;2.910,00 ;961,29 ;2.404,96 ;150,18 
;chocolatada tregar x 200ml;;;50,00 ;5.435,00 ;1.987,50 ;4.491,74 ;126,00 
;Crema clasica batir la serenisima 200ml;;;12,00 ;1.980,00 ;724,80 ;1.636,36 ;125,77 
;crema de leche serenisima cocina 200ml;;;60,00 ;11.790,00 ;5.646,20 ;9.743,80 ;72,57 
;Crema de Leche Tonadita 200cc;;;83,00 ;16.140,00 ;7.092,73 ;13.338,84 ;88,06 
;Crema de Leche Tregar 200cc;;;72,00 ;16.510,00 ;7.488,00 ;14.941,18 ;99,53 
;Danette  chocolate  95g;;;2,00 ;240,00 ;103,20 ;217,19 ;110,46 
;Danette  dulce de leche   95g;;;2,00 ;240,00 ;129,30 ;198,35 ;53,40 
;la salteña tapa para empanadas criollas  x15uni.;;;1,00 ;220,00 ;115,00 ;181,82 ;58,10 
;Leche descremada la serenisima;;;3,00 ;330,00 ;118,32 ;272,73 ;130,50 
;Leche descremada La Serenisima 1l;;;106,00 ;19.340,00 ;9.187,08 ;15.983,47 ;73,98 
;Leche descremada Tregar;;;102,00 ;18.610,00 ;8.416,00 ;15.380,17 ;82,75 
;Leche entera la serenisima;;;105,00 ;20.140,00 ;9.155,45 ;16.644,63 ;81,80 
;Leche entera Tregar;;;29,00 ;5.240,00 ;2.389,00 ;4.330,58 ;81,27 
;Mana Rellenas Vainilla;;;2,00 ;200,00 ;64,14 ;165,29 ;157,70 
;Manteca Tremblay 100g;;;41,00 ;6.040,00 ;2.204,90 ;4.991,73 ;126,39 
;Monster Mango Loco 473ml;;;48,00 ;12.800,00 ;4.254,00 ;10.578,51 ;148,67 
;Neufchatel Tregar 190g;;;2,00 ;380,00 ;206,00 ;314,05 ;52,45 
;Queso Chedar La Tonadita 8 fetas 116g;;;1,00 ;50,00 ;28,52 ;41,32 ;44,89 
;Queso Cheddar Light Tregar 190cc;;;1,00 ;160,00 ;88,00 ;132,23 ;50,26 
;Queso cremoso tradicional tremblay;;;14,00 ;6.240,00 ;2.602,00 ;5.157,02 ;98,19 
;Queso Neufchatel Azul Tregar 190cc;;;2,00 ;380,00 ;206,00 ;314,05 ;52,45 
;queso pategras tremblay;;;9,00 ;5.500,00 ;2.669,31 ;4.545,45 ;70,29 
;queso por salut light tremblay;;;13,00 ;2.510,00 ;754,00 ;2.074,38 ;175,12 
;Queso Rallado La Serenisima 35g;;;224,00 ;31.785,00 ;15.456,00 ;26.268,59 ;69,96 
;Queso rallado la serenisima 70g;;;3,00 ;600,00 ;285,00 ;495,87 ;73,99 
;Queso Tremblay untable clasico 190g;;;23,00 ;4.480,00 ;1.393,80 ;3.702,48 ;165,64 
;queso tremblay untable finas hierbas 190g;;;7,00 ;1.240,00 ;581,84 ;1.024,79 ;76,13 
;serenisima queso crema light 290g;;;4,00 ;1.060,00 ;473,80 ;876,03 ;84,90 
;serenisima queso crema original 290g;;;2,00 ;460,00 ;236,90 ;380,17 ;60,48 
;Tonadita cheddar 116gr;;;1,00 ;210,00 ;76,39 ;173,55 ;127,19 
;Tonadita cheddar 120gr;;;3,00 ;820,00 ;299,17 ;677,69 ;126,52 
;Tregar Cereales entero;;;8,00 ;900,00 ;449,40 ;743,80 ;65,51 
;Tregar Descremado Cereales;;;13,00 ;1.580,00 ;772,80 ;1.305,79 ;68,97 
;tremblay queso cheddar 190g;;;2,00 ;460,00 ;228,00 ;380,17 ;66,74 
;tremblay queso cheddar en fetas;;;1,00 ;340,00 ;0,00 ;340,00 ;0,00 
;tremblay queso crema clasico 290g;;;9,00 ;3.050,00 ;1.444,89 ;2.520,66 ;74,45 
;Tremblay queso de crema light;;;9,00 ;2.735,00 ;1.374,89 ;2.260,33 ;64,40 
;tremblay queso untable queso azul;;;2,00 ;400,00 ;196,46 ;330,58 ;68,27 
;yogur bebible serenisima frutilla 250ml;;;26,00 ;3.380,00 ;1.723,20 ;2.793,39 ;62,10 
;yogur bebible serenisima vainilla 250ml;;;18,00 ;2.310,00 ;1.177,60 ;1.909,09 ;62,12 
;yogur clasico frutilla serenisima 900g;;;2,00 ;400,00 ;203,96 ;330,58 ;62,08 
;yogur con cereal clasico serenisima;;;116,00 ;15.360,00 ;6.581,84 ;12.694,22 ;92,87 
;yogur con cereal light serenisima;;;57,00 ;7.630,00 ;3.234,18 ;6.305,79 ;94,97 
;yogur con frutas tregar anana 160g;;;2,00 ;190,00 ;94,35 ;157,02 ;66,43 
;Yogur Descremado Tregar Frutilla 160g;;;5,00 ;540,00 ;249,85 ;446,28 ;78,62 
;Yogur Entero Tregar Arandanos 160g;;;9,00 ;960,00 ;462,32 ;793,39 ;71,61 
;Yogur Entero Tregar Durazno 160g;;;18,00 ;1.970,00 ;953,46 ;1.628,10 ;70,76 
;Yogur Entero Tregar Frutilla 160g;;;12,00 ;1.370,00 ;635,64 ;1.132,23 ;78,12 
;yogur firme frutilla 190g;;;12,00 ;1.510,00 ;696,00 ;1.247,93 ;79,30 
;yogur firme vainilla  190g;;;14,00 ;1.770,00 ;812,00 ;1.462,81 ;80,15 
;yogur la serenisima vainilla 900g;;;2,00 ;400,00 ;202,00 ;330,58 ;63,65 
;Yogur tregar arándano descremado 160g;;;15,00 ;1.690,00 ;779,55 ;1.396,69 ;79,17 
;Yogur Tregar bebible Frutilla Litro;;;3,00 ;630,00 ;310,98 ;520,66 ;67,43 
;Yogur Tregar bebible vainilla litro;;;5,00 ;1.070,00 ;566,05 ;884,30 ;56,22 
;yogur tregar maracuja+mango 160g;;;1,00 ;120,00 ;64,00 ;99,17 ;54,96 
;yogur tregar natural 140g;;;4,00 ;480,00 ;252,48 ;396,69 ;57,12 
;yogurt firme frutilla 190g;;;39,00 ;3.510,00 ;1.482,00 ;2.900,83 ;95,74 
;yogurt firme vainilla  190g;;;31,00 ;2.790,00 ;1.178,00 ;2.305,79 ;95,74 
;Yummy Dino;;;53,00 ;2.400,00 ;0,00 ;2.400,00 ;0,00 
Total Rubro lacteos;1.552,00 ;258.220,00 ;113.230,54 ;215.195,90 ;90,05 ;;;
lays (24);;;;;;;;
;3 D conitos 122 grs;;;1,00 ;35,00 ;26,00 ;35,00 ;34,62 
;3D 95g;;;73,00 ;20.800,00 ;10.154,00 ;17.190,08 ;69,29 
;3D por 47g;;;76,00 ;11.360,00 ;5.606,00 ;9.388,43 ;67,47 
;Cheetos 48 g;;;77,00 ;11.740,00 ;5.806,26 ;9.702,48 ;67,10 
;Cheetos horneados 94g;;;64,00 ;17.650,00 ;8.213,05 ;14.586,78 ;77,60 
;cheetos horneados queso 151g;;;1,00 ;430,00 ;228,00 ;355,37 ;55,86 
;Doritos 85g;;;98,00 ;29.220,00 ;13.933,93 ;24.148,76 ;73,31 
;Doritos queso 45g;;;88,00 ;14.770,00 ;6.842,00 ;12.206,61 ;78,41 
;Isenbeck;;;34,00 ;8.045,00 ;3.147,04 ;6.648,76 ;111,27 
;Lays Asado 80g;;;1,00 ;140,00 ;69,93 ;115,70 ;65,45 
;lays asado 85g;;;21,00 ;5.150,00 ;2.638,89 ;4.256,20 ;61,29 
;Lays barbacoa 85 g;;;2,00 ;500,00 ;274,78 ;413,22 ;50,38 
;Lays clasicas 45grs;;;107,00 ;16.315,00 ;7.691,18 ;13.483,47 ;75,31 
;Lays jamon serrano 85g;;;85,00 ;24.180,00 ;11.681,03 ;19.983,47 ;71,08 
;lays katchup 85g;;;33,00 ;9.375,00 ;4.449,39 ;7.747,93 ;74,13 
;lays MESSI GOAT cebolla caramelizada 85g;;;11,00 ;3.245,00 ;1.738,00 ;2.681,82 ;54,30 
;lays MESSI GOAT queso y pimenta 85g;;;23,00 ;7.215,00 ;3.694,00 ;5.962,81 ;61,42 
;Lays queso crema y cebolla 85g;;;141,00 ;40.260,00 ;19.526,94 ;33.272,73 ;70,39 
;mani pelado pehuamar x 85grs;;;79,00 ;13.040,00 ;5.122,46 ;10.776,86 ;110,38 
;Palisal Pehuamar 90g;;;13,00 ;2.070,00 ;0,00 ;2.070,00 ;0,00 
;Palitos Queso Pehuamar 90g;;;48,00 ;7.410,00 ;2.378,64 ;6.123,97 ;157,46 
;papas lays x 94 grs;;;126,00 ;34.760,00 ;16.945,29 ;28.727,27 ;69,53 
;Papas pehuamar acanaladas 55g;;;1,00 ;120,00 ;17,70 ;99,17 ;460,30 
;Pehuamar acanaladas 80grs;;;95,00 ;19.270,00 ;7.726,50 ;15.925,62 ;106,12 
;pehuamar caracolitos 205g;;;4,00 ;1.080,00 ;560,84 ;892,56 ;59,15 
;pehuamar caracolitos sabor asado 110g;;;5,00 ;900,00 ;359,25 ;743,80 ;107,04 
;pehuamar MANIAX jamon mani 110g;;;30,00 ;6.245,00 ;2.820,00 ;5.161,16 ;83,02 
;pehuamar MANIAX mani aji y limon 110g;;;3,00 ;555,00 ;247,92 ;458,68 ;85,01 
;pehuamar MANIAX mani sal y limon;;;3,00 ;555,00 ;264,00 ;458,68 ;73,74 
;pehuamar papas clasica 145g;;;3,00 ;600,00 ;327,00 ;495,87 ;51,64 
;pep palitos 84g;;;86,00 ;14.385,00 ;6.695,04 ;11.888,43 ;77,57 
;Pep Rueditas Pizza 74g;;;84,00 ;13.890,00 ;5.264,24 ;11.479,34 ;118,06 
;Twistos  Quesos 40 g;;;30,00 ;3.790,00 ;1.854,20 ;3.132,23 ;68,93 
;Twistos horneados Queso  100g;;;51,00 ;11.445,00 ;5.824,79 ;9.458,68 ;62,39 
;Twistos Jamon Iberico 100g;;;59,00 ;13.020,00 ;6.710,76 ;10.760,33 ;60,34 
;Twistos multicereales original 100g;;;1,00 ;40,00 ;22,42 ;33,06 ;47,45 
Total Rubro lays;1.657,00 ;363.605,00 ;168.861,47 ;300.865,33 ;78,17 ;;;
levite (310);;;;;;;;
;Agua Villavicencio 1500cc;;;147,00 ;22.390,00 ;10.026,00 ;18.504,13 ;84,56 
;Azucar ledesma 1kg;;;2,00 ;160,00 ;64,00 ;132,23 ;106,61 
;Baggio Fresh mix frutal 1.5L;;;33,00 ;3.960,00 ;1.544,40 ;3.272,73 ;111,91 
;Levite Anana 1500cc;;;7,00 ;1.280,00 ;700,00 ;1.057,85 ;51,12 
;Levite Manzana 1500cc;;;96,00 ;18.580,00 ;9.600,00 ;15.355,37 ;59,95 
;Levite Naranja 1500cc;;;73,00 ;14.110,00 ;4.584,40 ;11.661,16 ;154,37 
;Levite Pera 1500cc;;;96,00 ;18.400,00 ;9.600,00 ;15.206,61 ;58,40 
;Levite Pomelo 1500cc;;;109,00 ;21.140,00 ;10.900,00 ;17.471,07 ;60,29 
;Patrichs Noir;;;4,00 ;990,00 ;0,00 ;990,00 ;0,00 
;Ser Citrus 1.5lts;;;8,00 ;1.280,00 ;470,40 ;1.057,85 ;124,88 
;Ser Limon 1.5lts;;;6,00 ;960,00 ;393,36 ;793,39 ;101,70 
;Villa del Sur 600cc;;;139,00 ;12.940,00 ;4.411,86 ;10.694,22 ;142,40 
;villavicencio 500cc;;;100,00 ;11.150,00 ;3.174,00 ;9.214,88 ;190,32 
;Villavicencio Sport 750cc;;;115,00 ;16.330,00 ;7.695,00 ;13.495,87 ;75,38 
Total Rubro levite;935,00 ;143.670,00 ;63.163,42 ;118.907,35 ;88,25 ;;;
miga miga (316);;;;;;;;
;palitos salados sabor queso emely;;;27,00 ;2.360,00 ;1.178,21 ;1.950,41 ;65,54 
Total Rubro miga miga;27,00 ;2.360,00 ;1.178,21 ;1.950,41 ;65,54 ;;;
pedrin (25);;;;;;;;
;batatas fritas clasicas 70g;;;4,00 ;860,00 ;413,28 ;710,74 ;71,98 
;Conitos pedrin 70g;;;1,00 ;50,00 ;27,27 ;41,32 ;51,53 
;Copos Pedrin 80g;;;19,00 ;3.370,00 ;1.197,00 ;2.785,12 ;132,68 
;Mani Pedrin Pelados Salados 150g;;;68,00 ;11.980,00 ;4.331,44 ;9.900,83 ;128,58 
;MANI SALADO CON PIEL sin culpa;;;2,00 ;140,00 ;70,00 ;115,70 ;65,29 
;Nachos Pedrin 250 g;;;8,00 ;2.400,00 ;1.244,00 ;1.983,47 ;59,44 
;Palitos Air3full Cheddar;;;4,00 ;560,00 ;259,16 ;462,81 ;78,58 
;Papas Pedrin 70g;;;18,00 ;3.360,00 ;1.620,00 ;2.776,86 ;71,41 
;Papas Pedrin cebollas a la crema 70g;;;47,00 ;9.390,00 ;4.183,14 ;7.760,33 ;85,51 
;Papas Pedrin Saborizada Jamon;;;21,00 ;3.790,00 ;1.856,00 ;3.132,23 ;68,76 
;Papas Pehuamar 180g acanalada;;;2,00 ;300,00 ;82,64 ;247,93 ;200,02 
;pedrin Nachos  90g;;;7,00 ;1.290,00 ;399,00 ;1.066,12 ;167,20 
;Pedrin palitos 80g;;;39,00 ;3.725,00 ;1.727,95 ;3.078,51 ;78,16 
;snacks surtidos 120gr;;;8,00 ;2.370,00 ;1.106,56 ;1.958,68 ;77,01 
Total Rubro pedrin;248,00 ;43.585,00 ;18.517,44 ;36.020,66 ;94,52 ;;;
pepsi (309);;;;;;;;
;7up 1500 cc;;;90,00 ;19.410,00 ;7.884,00 ;16.041,32 ;103,47 
;7UP 250 cc;;;6,00 ;415,00 ;118,56 ;342,98 ;189,28 
;7up 500cc;;;106,00 ;11.410,00 ;4.671,42 ;9.429,75 ;101,86 
;7UP Free 1.500cc;;;42,00 ;8.820,00 ;3.679,20 ;7.205,26 ;95,84 
;7UP Free 500cc;;;2,00 ;220,00 ;50,90 ;181,82 ;257,21 
;7up sin azucar lata;;;16,00 ;1.550,00 ;600,16 ;1.280,99 ;113,44 
;Energizer 2032 x 1;;;4,00 ;360,00 ;120,00 ;297,52 ;147,93 
;Gatorade Berry 500cc;;;2,00 ;280,00 ;38,14 ;231,40 ;506,72 
;Gatorade Blue 1250;;;17,00 ;4.310,00 ;1.141,58 ;3.561,98 ;212,02 
;Gatorade Cool Blue 500cc;;;24,00 ;3.600,00 ;861,12 ;2.975,21 ;245,50 
;Gatorade Frutas Tropicales 1.25cc;;;38,00 ;9.890,00 ;2.817,18 ;8.173,55 ;190,13 
;Gatorade Frutas Tropicales 473cc;;;1,00 ;130,00 ;65,00 ;107,44 ;65,29 
;gatorade frutos tropicales 500;;;51,00 ;8.410,00 ;2.550,00 ;6.950,41 ;172,57 
;Gatorade Lima Limon 500cc;;;9,00 ;1.085,00 ;171,63 ;896,69 ;422,46 
;Gatorade Manzana 1.250 cc;;;38,00 ;9.900,00 ;1.043,86 ;8.181,82 ;683,80 
;Gatorade Manzana 500cc;;;66,00 ;10.700,00 ;3.334,32 ;8.842,98 ;165,21 
;gatorade manzana 750cc;;;18,00 ;3.340,00 ;1.035,00 ;2.760,33 ;166,70 
;Gatorade Naranja 473 ml;;;3,00 ;510,00 ;57,21 ;421,49 ;636,74 
;Gatorade Naranja 500cc;;;32,00 ;5.080,00 ;610,24 ;4.198,35 ;587,98 
;Gatorade uva 500 ml;;;30,00 ;4.900,00 ;1.635,90 ;4.049,59 ;147,54 
;Guaraná Antartica 1.5l;;;60,00 ;11.430,00 ;5.256,00 ;9.345,62 ;77,81 
;H2O Citrus 1.500cc;;;28,00 ;5.880,00 ;2.452,80 ;4.859,50 ;98,12 
;H2O Citrus 500cc;;;35,00 ;3.650,00 ;1.542,45 ;3.016,53 ;95,57 
;H2O Limoneto 1500cc;;;28,00 ;6.110,00 ;2.452,80 ;5.049,59 ;105,87 
;H2O Limoneto 2.25 cc;;;7,00 ;1.750,00 ;918,68 ;1.446,28 ;57,43 
;H2O Limoneto 500 cc;;;50,00 ;5.160,00 ;2.203,50 ;4.264,46 ;93,53 
;Mirinda 250cc;;;30,00 ;1.660,00 ;682,80 ;1.371,90 ;100,92 
;Mirinda Naranja 1.5 lt;;;4,00 ;840,00 ;232,00 ;686,21 ;195,78 
