Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;Lucchetti Tirabuzon 500g;;;17,00 ;1.980,00 ;1.025,53 ;1.636,36 ;59,56 
;Lupinos en salmuera Barbera;;;1,00 ;400,00 ;213,21 ;330,58 ;55,05 
;Luz Led Philco 12w;;;1,00 ;160,00 ;89,30 ;132,23 ;48,08 
;Magdalenas gaona coco con d.d.l 215g;;;1,00 ;130,00 ;70,00 ;107,44 ;53,48 
;Magdalenas Marmoladas Don Satur 200g;;;7,00 ;1.610,00 ;567,00 ;1.330,58 ;134,67 
;mana sabor chocolate 145g;;;11,00 ;1.440,00 ;781,00 ;1.190,08 ;52,38 
;Mani Garrapiñado Pailas;;;5,00 ;250,00 ;94,10 ;206,61 ;119,57 
;maquina zeus acrilico;;;3,00 ;960,00 ;518,40 ;793,39 ;53,05 
;Matarazzo spaghetti;;;1,00 ;110,00 ;57,35 ;90,91 ;58,52 
;mate cocido amanda  x25 saquitos;;;3,00 ;240,00 ;117,00 ;198,35 ;69,53 
;mate cocido La Hoja  x25 saq;;;8,00 ;800,00 ;425,68 ;661,16 ;55,32 
;Medallón Pollo, Jmón y Queso 170g;;;1,00 ;130,00 ;71,05 ;107,44 ;51,21 
;Mermelada Arcor durazno;;;2,00 ;460,00 ;176,00 ;380,17 ;116,00 
;Mogul rodajas acidas 50g;;;18,00 ;1.620,00 ;873,00 ;1.338,84 ;53,36 
;Mortadela Paladini Chica 300g;;;15,00 ;6.100,00 ;2.727,45 ;5.041,32 ;84,84 
;Naipes Cartas El Padrino;;;2,00 ;300,00 ;140,00 ;247,93 ;77,10 
;NATUZEN COOKIES LIMON sin tacc;;;1,00 ;80,00 ;38,00 ;66,12 ;73,99 
;Nescafe dolca  50g;;;6,00 ;1.140,00 ;627,60 ;942,15 ;50,12 
;nescafe dolca caffe latte  125g;;;1,00 ;200,00 ;109,64 ;165,29 ;50,76 
;Nescafe tradicion cafe 100% puro;;;1,00 ;250,00 ;132,00 ;206,61 ;56,52 
;nucrem georgalos 25g;;;18,00 ;540,00 ;270,00 ;446,28 ;65,29 
;nuez moscada molida  La canasta 25g;;;4,00 ;360,00 ;193,20 ;297,52 ;54,00 
;Nutella 140g;;;5,00 ;1.800,00 ;885,00 ;1.487,60 ;68,09 
;Oregano   La canasta especies naturales 25g;;;3,00 ;210,00 ;97,05 ;173,55 ;78,83 
;Pan de Panchos Bimbo;;;120,00 ;24.450,00 ;6.942,00 ;20.206,61 ;191,08 
;Pan Dulce Con Frutas Fantoche 400G;;;1,00 ;320,00 ;160,00 ;264,46 ;65,29 
;pan dulce marmolado fantoche;;;2,00 ;620,00 ;338,00 ;512,40 ;51,60 
;Pan Integral Bimbo;;;19,00 ;6.460,00 ;3.082,00 ;5.338,84 ;73,23 
;Pan Lactal Liviano Bimbo;;;48,00 ;16.090,00 ;6.235,20 ;13.297,52 ;113,27 
;Pan rallado lRiera 500g;;;2,00 ;180,00 ;93,38 ;148,76 ;59,31 
;Pan Rallado Preferido 500g;;;20,00 ;2.790,00 ;1.147,60 ;2.305,79 ;100,92 
;papas Tryms con pimento morron 60g;;;1,00 ;160,00 ;83,00 ;132,23 ;59,31 
;papel higienico campanita x4;;;8,00 ;2.320,00 ;1.138,88 ;1.917,36 ;68,35 
;pasta dental Kolynos  70g;;;3,00 ;450,00 ;170,49 ;371,90 ;118,14 
;Pasta seca de sémola Ruote;;;1,00 ;80,00 ;45,00 ;80,00 ;77,78 
;pate de foie paladini;;;3,00 ;390,00 ;210,00 ;322,31 ;53,48 
;Paty express x 4 276g;;;17,00 ;5.970,00 ;2.621,30 ;4.933,88 ;88,22 
;PATY X2;;;19,00 ;4.680,00 ;2.183,00 ;3.867,77 ;77,18 
